title,author,publicationName,cover_date,scopus_id,cited_by_count,open_access
Developing a contextual model of poverty prediction using data science and analytics – The case of Shelby County,Hoogstra B.,Decision Support Systems,2024-02-01,SCOPUS_ID:85170705398,1,False
Datawindow: Python Library to Simplify the Data Science Process,Lawrence D.,"Proceedings - International Conference on Computing, Power, and Communication Technologies, IC2PCT 2024",2024-01-01,SCOPUS_ID:85191164474,0,False
From Logic Programming to Programming in Logica: A First-Course in Declarative Data Science &amp; Engineering,Skvortsov E.,CEUR Workshop Proceedings,2024-01-01,SCOPUS_ID:85208595259,0,False
A systematic bibliometric literature review on data science in marketing,Rosário A.T.,Enhancing Business Communications and Collaboration Through Data Science Applications,2023-03-21,SCOPUS_ID:85162922936,2,False
"CMLDS 2024 - 2024 International Conference on Computing, Machine Learning and Data Science, Conference Proceedings",,ACM International Conference Proceeding Series,2024-04-12,SCOPUS_ID:85197294704,0,False
Artificial intelligence and data science in various domains,Garov A.K.,Advancement of Data Processing Methods for Artificial and Computing Intelligence,2023-12-26,SCOPUS_ID:85183741545,0,False
"Introduction to Data Science in Biostatistics: Using R, the Tidyverse Ecosystem, and APIs",Macfarland T.W.,"Introduction to Data Science in Biostatistics: Using R, the Tidyverse Ecosystem, and APIs",2024-01-01,SCOPUS_ID:85206431541,0,False
"Motivation, inclusivity, and realism should drive data science education",Savonen C.,F1000Research,2024-01-01,SCOPUS_ID:85193494798,1,True
A Comprehensive Step-by-Step Guide to Using Data Science Tools in the Gestion of Epidemiological and Climatological Data in Rice Production Systems,Rodríguez-Almonacid D.V.,Agronomy,2023-11-01,SCOPUS_ID:85178377780,1,True
Introduction: Enhancing business communications and collaboration through data science applications,Geada N.,Enhancing Business Communications and Collaboration Through Data Science Applications,2023-03-21,SCOPUS_ID:85162888289,0,False
An Instrument Assembly and Data Science Lab for Early Undergraduate Education,Wallum A.,Journal of Chemical Education,2023-05-09,SCOPUS_ID:85154054111,5,False
Data Science: A First Introduction with Python,Timbers T.,Data Science: A First Introduction with Python,2024-01-01,SCOPUS_ID:85207187880,0,False
Embedding Inclusivity Design into the Data Science Curriculum,Campbell J.,Lecture Notes in Networks and Systems,2024-01-01,SCOPUS_ID:85200946988,0,False
Integrative review of data sciences for driving smart mobility in intelligent transportation systems,Jalil K.,Computers and Electrical Engineering,2024-11-01,SCOPUS_ID:85202882588,0,False
From secondary data to Population Data Science: remembering 40 years of scientific production within CSP pages,Coeli C.M.,Cadernos de Saude Publica,2024-01-01,SCOPUS_ID:85196852515,1,True
Board 326: K-12 Teachers and Data Science: Learning Interdiscplinary Science Through Research Experiences,Herbert-Berger K.G.,"ASEE Annual Conference and Exposition, Conference Proceedings",2024-06-23,SCOPUS_ID:85202045606,0,False
A data science pipeline synchronisation method for edge-fog-cloud continuum,Sanchez-Gallegos D.D.,ACM International Conference Proceeding Series,2023-11-12,SCOPUS_ID:85178158220,1,False
Integrating Computational Thinking and Data Science: The Case of Modding Classification Games,Grizioti M.,Informatics in Education,2024-01-01,SCOPUS_ID:85188505037,1,True
Series Editorial: Artificial Intelligence and Data Science for Communications,Choi Y.,IEEE Communications Magazine,2023-03-01,SCOPUS_ID:85151326560,2,True
Don't Look at the Data! How Differential Privacy Reconfigures the Practices of Data Science,Sarathy J.,Conference on Human Factors in Computing Systems - Proceedings,2023-04-19,SCOPUS_ID:85159396131,8,False
Preface: modern data science technologies workshop,Emmerich M.,CEUR Workshop Proceedings,2024-01-01,SCOPUS_ID:85198984811,0,False
Applying Data Science to Assess Cyber Security of Renewable Energy and Reserve Markets to Ensure System Reliability,Rizi D.T.,"2024 9th International Conference on Technology and Energy Management, ICTEM 2024",2024-01-01,SCOPUS_ID:85203179655,0,False
Where Are We Going with Statistical Computing? From Mathematical Statistics to Collaborative Data Science,Makowski D.,Mathematics,2023-04-01,SCOPUS_ID:85153705817,1,True
"KGLiDS: A Platform for Semantic Abstraction, Linking, and Automation of Data Science",Helali M.,Proceedings - International Conference on Data Engineering,2024-01-01,SCOPUS_ID:85200476427,0,False
Data science and big data analytics,Rehman F.,"Future Communication Systems Using Artificial Intelligence, Internet of Things and Data Science",2024-06-14,SCOPUS_ID:85192132524,0,False
Screening Application for Possible Mental Health Issues in Adolescents and PWDs Using Data Science,Gunasundari S.,Lecture Notes in Networks and Systems,2024-01-01,SCOPUS_ID:85189760105,0,False
Improving ecological data science with workflow management software,Brousil M.R.,Methods in Ecology and Evolution,2023-06-01,SCOPUS_ID:85153527796,1,True
MagNet—A Data-Science Competition to Predict Disturbance Storm-Time Index (Dst) From Solar Wind Data,Nair M.,Space Weather,2023-10-01,SCOPUS_ID:85173760692,3,True
Computability of optimizers for AI and data science,Lee Y.,Handbook of Numerical Analysis,2024-01-01,SCOPUS_ID:85194175000,0,False
A platform to help in generating code for machine learning and data science projects,Rajiv C.S.,AIP Conference Proceedings,2023-10-27,SCOPUS_ID:85179157980,0,False
Mobility Data Science: Perspectives and Challenges,Mokbel M.,ACM Transactions on Spatial Algorithms and Systems,2024-07-01,SCOPUS_ID:85196966582,1,True
An examination of data science's application to the subject of energy management,Tiwari N.,AIP Conference Proceedings,2024-01-19,SCOPUS_ID:85184608738,0,True
Transforming research methods education through data science literacy,Overton M.,Teaching Public Administration,2023-07-01,SCOPUS_ID:85129311272,4,False
Issues in behavioral data science,Iodice D’Enza A.,Behaviormetrika,2024-01-01,SCOPUS_ID:85181913296,0,True
Developmental data science: How machine learning can advance theory formation in Developmental Psychology,Van Lissa C.J.,Infant and Child Development,2023-11-01,SCOPUS_ID:85139529880,11,True
A Methodology for Constructing Patterns for the Management of Data Science Projects,Haertel C.,"International Conference on Enterprise Information Systems, ICEIS - Proceedings",2024-01-01,SCOPUS_ID:85193998072,0,False
Notably Inaccessible - Data Driven Understanding of Data Science Notebook (In)Accessibility,Potluri V.,ASSETS 2023 - Proceedings of the 25th International ACM SIGACCESS Conference on Computers and Accessibility,2023-10-22,SCOPUS_ID:85169026526,1,True
A Combined Data Science and Simulation-Based Methodology for Efficient and Economic Prediction of Thermoplastic Performance for Automotive Industry,Thambi J.L.,SAE Technical Papers,2023-04-11,SCOPUS_ID:85160809103,0,False
Editorial: DSAA 2023 journal track on theoretical and practical data science and analytics,Yang B.,International Journal of Data Science and Analytics,2024-10-01,SCOPUS_ID:85204556786,0,False
UNITABE: A UNIVERSAL PRETRAINING PROTOCOL FOR TABULAR FOUNDATION MODEL IN DATA SCIENCE,Yang Y.,"12th International Conference on Learning Representations, ICLR 2024",2024-01-01,SCOPUS_ID:85200574178,2,False
"Data science methods for response, incremental response and rate sensitivity to response modelling in banking",Arevalillo J.M.,Expert Systems,2024-10-01,SCOPUS_ID:85194887033,0,True
"Big Data Analytics, Data Science, ML&amp;AI for Connected, Data-driven Precision Agriculture and Smart Farming Systems: Challenges and Future Directions",Han D.,ACM International Conference Proceeding Series,2023-05-09,SCOPUS_ID:85159789146,3,True
The Impact of Data Science Solutions on the Company Turnover,Cristescu M.P.,Information (Switzerland),2023-10-01,SCOPUS_ID:85175088951,5,True
Data Science and Geriatric Anesthesia Research: Opportunity and Challenges,Sandhu M.R.S.,Anesthesiology Clinics,2023-09-01,SCOPUS_ID:85153067379,0,False
Harnessing data science to improve molecular structure elucidation from tandem mass spectrometry,Harris E.,Structural Chemistry,2023-10-01,SCOPUS_ID:85161525328,0,True
"Enantioselective Sulfonimidamide Acylation via a Cinchona Alkaloid-Catalyzed Desymmetrization: Scope, Data Science, and Mechanistic Investigation",Haas B.C.,Journal of the American Chemical Society,2024-03-27,SCOPUS_ID:85187706397,5,False
MOOC Cubes and Clouds - Cloud Native Open Data Sciences for Earth Observation,Zellner P.J.,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",2024-06-20,SCOPUS_ID:85197367299,0,True
Identifying globally relevant learnings from Africa's challenges and solutions to climate change and air pollution-related health impacts: A data science scoping review protocol,Wright C.Y.,BMJ Open,2024-05-20,SCOPUS_ID:85193787640,0,True
Data Science for Health Image Alignment: A User-Friendly Open-Source ImageJ/Fiji Plugin for Aligning Multimodality/Immunohistochemistry/Immunofluorescence 2D Microscopy Images,Piccinini F.,Sensors,2024-01-01,SCOPUS_ID:85183216886,1,True
Data science and automation in the process of theorizing: Machine learning’s power of induction in the co-duction cycle,Kolkman D.,PLoS ONE,2024-11-01,SCOPUS_ID:85208516561,0,True
"An Integrated Approach to Data Science Foundations in Computing, Mathematics and Statistics",Zhang Y.,SIGCSE 2023 - Proceedings of the 54th ACM Technical Symposium on Computer Science Education,2023-03-06,SCOPUS_ID:85149714086,0,True
Data Science Approach for EBSD Data Processing and Materials Design for Magnesium Alloy,Yi H.,"Minerals, Metals and Materials Series",2024-01-01,SCOPUS_ID:85185715577,0,False
Convergence of data science-AI-Green chemistry-affordable medicine: Transforming drug discovery,Rebecca B.,Handbook of Research on AI and ML for Intelligent Machines and Systems,2023-11-27,SCOPUS_ID:85182092843,31,False
Ethical governance for genomic data science in the cloud,Rahimzadeh V.,Nature Reviews Genetics,2024-01-01,SCOPUS_ID:85207252716,0,False
Adopting Foundational Data Science Curriculum with Diverse Institutional Contexts,Janeja V.P.,SIGCSE 2024 - Proceedings of the 55th ACM Technical Symposium on Computer Science Education,2024-03-07,SCOPUS_ID:85189139403,1,True
Cyber security in data science and its applications,Varalakshmi M.,Advanced Mathematical Applications in Data Science,2023-08-24,SCOPUS_ID:85204643225,0,False
Healthcare through data science - A transdisciplinary perspective from Latin America,Chatterjee P.,IEEE Technology and Engineering Management Society Body of Knowledge (TEMSBOK),2023-09-25,SCOPUS_ID:85174432105,0,False
Data Science Supporting Lean Production: Evidence from Manufacturing Companies,Pozzi R.,Systems,2024-03-01,SCOPUS_ID:85188903809,2,True
WHEN POLICY CONFLICTS WITH THE DATA SCIENCE: PREDICTING THE COST OVERRUN OF THE 2032 BRISBANE OLYMPIC GAMES,McLennan C.L.,"Advances in Culture, Tourism and Hospitality Research",2024-09-09,SCOPUS_ID:85202848478,0,False
Board 275: Enhance Data Science Education for Non-Computing Majors through Accessible Hands-on Experiences,Liu X.,"ASEE Annual Conference and Exposition, Conference Proceedings",2023-06-25,SCOPUS_ID:85172139953,0,False
Engaging Engineering Students through Environmental Data Science,Camarillo M.K.,"ASEE Annual Conference and Exposition, Conference Proceedings",2023-06-25,SCOPUS_ID:85172107452,0,False
"Data science advancements in healthcare, education, and cities: An overview",Kushwah V.S.,Technologies for Sustainable Healthcare Development,2024-07-26,SCOPUS_ID:85203117087,0,False
Communications and Data Science for the Success of Vehicle-to-Grid Technologies: Current State and Future Trends,Uribe-Pérez N.,Electronics (Switzerland),2024-05-01,SCOPUS_ID:85194266863,4,True
Evolution of data science and its education in iSchools: An impressionistic study using curriculum analysis,Urs S.R.,Journal of the Association for Information Science and Technology,2023-06-01,SCOPUS_ID:85127261265,7,False
Decoding career success: A personality-based analysis of data science Professional based on ANFIS modeling,Rezaiee Fard A.,Heliyon,2024-07-15,SCOPUS_ID:85197509389,0,True
Experience Economy Perspective on Recreational Fishing Tourism Travelers’ Reviews: A Data Science Approach,Yfantidou G.,Tourism and Hospitality,2024-06-01,SCOPUS_ID:85196853678,0,True
Global synthesis of two decades of research on improving PM<inf>2.5</inf> estimation models from remote sensing and data science perspectives,Bai K.,Earth-Science Reviews,2023-06-01,SCOPUS_ID:85160998543,31,False
The COVID-19 Pandemic and Data Science and Statistics Education,Horton N.J.,Journal of Statistics and Data Science Education,2024-01-01,SCOPUS_ID:85188512758,0,True
Bridging the Digital Divide: Data Science for Indian Surgeons,Tennakoon L.,Indian Journal of Surgery,2024-01-01,SCOPUS_ID:85203697238,0,False
Uncertainty and three-way decision in data science,Yao J.T.,International Journal of Approximate Reasoning,2023-11-01,SCOPUS_ID:85171379722,4,False
Democratizing Data Science:Using Language Models for Intuitive Data Insights and Visualizations,Sudha S.V.,"Proceedings - 2024 4th International Conference on Pervasive Computing and Social Networking, ICPCSN 2024",2024-01-01,SCOPUS_ID:85201705762,0,False
"RETRACTED ARTICLE: A game theory data science-based mechanism for licensed pharmaceutical products concerning their deterioration: a case of a micro, small, and medium enterprise in Iran(Annals of Operations Research, (2024), 337, (S23–S24))",Mostofi A.,Annals of Operations Research,2024-06-01,SCOPUS_ID:85160236591,2,True
Develop a Machine Learning Life Cycle in Oracle Accelerated Data Science (ADS) SDK,Plăcintă D.D.,"Smart Innovation, Systems and Technologies",2024-01-01,SCOPUS_ID:85185716715,0,False
Toward data-science-guided prediction of enantiomeric excess in amines—A workflow method,Anzenbacher P.,Chem,2024-08-08,SCOPUS_ID:85198542049,1,False
Human Centered Data Science: Ungrading in an Introductory Data Science Course,Theobold A.S.,"Annual Conference on Innovation and Technology in Computer Science Education, ITiCSE",2023-06-29,SCOPUS_ID:85166219627,3,False
Symmetry in Scientific Collaboration Networks: A Study Using Temporal Graph Data Science and Scientometrics,Santos B.S.,Symmetry,2023-03-01,SCOPUS_ID:85151734195,2,True
"Investigate the Use of Artificial Intelligence, Data Science and Technology in Verdict and Treatment of COVID-19",Kaur G.,AIP Conference Proceedings,2023-10-20,SCOPUS_ID:85177552669,0,False
ADDRESSING CONFIRMATION BIAS in MIDDLE SCHOOL DATA SCIENCE EDUCATION,Hedges S.,Foundations of Data Science,2023-06-01,SCOPUS_ID:85152418603,3,True
Enhancing Education in Multi-Energy Systems with Data Science Notebooks,Ehsan A.,"2024 IEEE 22nd Mediterranean Electrotechnical Conference, MELECON 2024",2024-01-01,SCOPUS_ID:85201733900,0,False
"18th International Conference on Data Science and Artificial Intelligence, ICDSAI 2023",,Springer Proceedings in Mathematics and Statistics,2024-01-01,SCOPUS_ID:85194077126,0,False
"Corrigendum to “Topological tail dependence: evidence from forecasting realized volatility” [The Journal of Finance and Data Science 9 (2023) 100107] (The Journal of Finance and Data Science (2023) 9, (S2405918823000235), (10.1016/j.jfds.2023.100107))",Souto H.G.,Journal of Finance and Data Science,2024-01-01,SCOPUS_ID:85202651098,1,True
Data Science Methodologies – A Benchmarking Study,Machado L.,Communications in Computer and Information Science,2024-01-01,SCOPUS_ID:85180747024,0,False
Supporting Better Insights of Data Science Pipelines with Fine-grained Provenance,Chapman A.,ACM Transactions on Database Systems,2024-04-10,SCOPUS_ID:85193523259,2,False
Data Science with Semantic Technologies: Application to Information Systems Development,Ben Sassi S.,Journal of Computer Information Systems,2024-01-01,SCOPUS_ID:85161559431,1,False
Data Science in Finance: Challenges and Opportunities,Zheng X.,AI (Switzerland),2024-03-01,SCOPUS_ID:85188682099,2,True
"Observational Health Data Science and Informatics and Hand Surgery Research: Past, Present, and Future",Hum R.,Journal of Hand Surgery,2024-01-01,SCOPUS_ID:85206904996,0,False
"3rd Southwest Data Science Conference, SDSC 2024",,Communications in Computer and Information Science,2024-01-01,SCOPUS_ID:85202593124,0,False
Addressing labour exploitation in the data science pipeline: views of precarious US-based crowdworkers on adversarial and co-operative interventions,Bates J.,"Journal of Information, Communication and Ethics in Society",2023-07-04,SCOPUS_ID:85160317725,1,False
Data science-based tool to reduce measurement errors in atmospheric monitoring systems,González J.,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",2024-01-01,SCOPUS_ID:85203836286,0,False
The Application of Data Science at Original Equipment Manufacturers: A Literature Review,Haertel C.,IEEE Access,2024-01-01,SCOPUS_ID:85202294348,0,True
ScalaGrad: A Statically Typed Automatic Differentiation Library for Safer Data Science,Meyer B.,"Proceedings - Swiss Conference on Data Science, SDS",2024-01-01,SCOPUS_ID:85208961067,0,False
A Platform for Data Science and Analytics at the Edge,Godumagadda A.,SPE - International Association of Drilling Contractors Drilling Conference Proceedings,2024-01-01,SCOPUS_ID:85187213422,0,False
A COMPARATIVE STUDY ON UNIVARIATE OUTLIER WINSORIZATION METHODS IN DATA SCIENCE CONTEXT,Abuzaid A.,Statistica Applicata,2024-07-31,SCOPUS_ID:85201578696,0,False
"The Role of Data Sciences in Marketing Management: Challenges, Applications, and Opportunities",Dudhwala J.G.,AIP Conference Proceedings,2024-05-02,SCOPUS_ID:85193021414,0,False
Accelerating AI for science: open data science for science,Lawrence N.D.,Royal Society Open Science,2024-08-21,SCOPUS_ID:85202462174,2,True
A Multi-Method Data Science Pipeline for Analyzing Police Service,Haensch A.,American Statistician,2024-01-01,SCOPUS_ID:85202063712,1,False
Introducing Variational Inference in Statistics and Data Science Curriculum,Kejzlar V.,American Statistician,2024-01-01,SCOPUS_ID:85165574246,1,False
"Teaching students: to R<sup>3</sup>eason, not merely to solve problem sets: The role of philosophy and visual data communication in accessible data science education",Ciubotariu I.I.,PLoS Computational Biology,2023-06-01,SCOPUS_ID:85163906781,1,True
Towards Low Distortion Airborne Optical Turrets: Leveraging Computational Aero-Optics and Data-Science Methods,Weidenfeld M.,"63rd Israel Annual Conference on Aerospace Sciences, IACAS 2024",2024-01-01,SCOPUS_ID:85195810202,0,False
Overriding Innate Decomposition Temperatures of an Avibactam Prodrug Precursor Using Data Science-Guided Synthesis,Werth J.,Organic Process Research and Development,2024-04-19,SCOPUS_ID:85190150451,0,False
"Geographic Information, Geospatial Technologies and Spatial Data Science for Health",Blanford J.,"Geographic Information, Geospatial Technologies and Spatial Data Science for Health",2024-01-01,SCOPUS_ID:85205232163,2,False
"7th IFIP TC 12 International Conference on Computational Intelligence in Data Science, ICCIDS 2024",,IFIP Advances in Information and Communication Technology,2024-01-01,SCOPUS_ID:85208427553,0,False
Data science pedagogical tools and practices: A systematic literature review,Memarian B.,Education and Information Technologies,2024-05-01,SCOPUS_ID:85168684070,1,False
Academic data science: Transdisciplinary and extradisciplinary visions,Tanweer A.,Social Studies of Science,2024-02-01,SCOPUS_ID:85164513444,0,True
Data Science Maturity Model: From Raw Data to Pearl’s Causality Hierarchy,Cavique L.,Lecture Notes in Networks and Systems,2024-01-01,SCOPUS_ID:85187720375,0,False
Data science's cultural construction: qualitative ideas for quantitative work,Brandt P.,Frontiers in Big Data,2024-01-01,SCOPUS_ID:85202186972,0,True
"4th International Conference on Data Science and Applications, ICDSA 2023",,Lecture Notes in Networks and Systems,2024-01-01,SCOPUS_ID:85187981436,0,False
Data science and decision analytics,Chen V.C.P.,Annals of Operations Research,2024-10-01,SCOPUS_ID:85204353292,0,False
"2nd IEEE International Conference on Data Science and Information System, ICDSIS 2024",,"2nd IEEE International Conference on Data Science and Information System, ICDSIS 2024",2024-01-01,SCOPUS_ID:85200105553,0,False
Exploring the Relationship between Career Satisfaction and University Learning Using Data Science Models,Ramos-Pulido S.,Informatics,2024-03-01,SCOPUS_ID:85188917385,2,True
Applying data science approach to predicting diseases and recommending drugs in healthcare using machine learning models – A cardio disease case study,Lambay M.A.,Multimedia Tools and Applications,2024-08-01,SCOPUS_ID:85183004404,2,False
Predicting Students Answers Using Data Science: An Experimental Study with Machine Learning,Abdullah M.,Lecture Notes in Networks and Systems,2024-01-01,SCOPUS_ID:85193637308,0,False
"The triangulation of ethical leader signals using qualitative, experimental, and data science methods",Banks G.C.,Leadership Quarterly,2023-06-01,SCOPUS_ID:85143876462,10,False
A Data Science Maturity Model Applied to Students' Modeling,Cavique L.,Emerging Science Journal,2023-12-01,SCOPUS_ID:85181466732,0,True
A requirement-driven approach for competency-based collaboration in industrial data science projects,Syberg M.,International Journal of Production Management and Engineering,2024-01-01,SCOPUS_ID:85184596425,0,True
Data science assisted cohesive finite element modelling of impact behaviour of AP-HTPB crystal binder composite,Harjono H.L.,Strain,2024-06-01,SCOPUS_ID:85172158207,1,True
Data Science and Risk Analytics in Finance and Insurance,Lai T.L.,Data Science and Risk Analytics in Finance and Insurance,2024-01-01,SCOPUS_ID:85207582272,0,False
Data science essentials in business administration: A multidisciplinary perspective,Afsharian M.,Decision Analytics Journal,2024-06-01,SCOPUS_ID:85187975862,1,True
Active Data Science for Improving Clinical Risk Prediction,Ankerst D.P.,Journal of Data Science,2023-04-01,SCOPUS_ID:85192742765,1,True
"Data Science Fundamentals with R, Python, and Open Data",Cremonini M.,"Data Science Fundamentals with R, Python, and Open Data",2024-01-01,SCOPUS_ID:85191523728,0,False
New Analytic Framework of Public Mental Health Predection Using Data Science,Simpson S.V.,"Proceedings of the 2024 10th International Conference on Communication and Signal Processing, ICCSP 2024",2024-01-01,SCOPUS_ID:85195995119,0,False
Technology Roadmapping: Data Science Roadmapping of Networked Organizations’ Strategic Planning for Artificial Intelligence,Kayabay K.,Future-Oriented Technology Assessment: A Manager’s Guide with Case Applications,2024-01-01,SCOPUS_ID:85207919223,0,False
Information-driven machine learning: Data science as an engineering discipline,Friedland G.,Information-Driven Machine Learning: Data Science as an Engineering Discipline,2023-12-01,SCOPUS_ID:85179555291,1,False
A NOVEL APPROACH OF DATA SCIENCE INCORPORATING PHYSICAL KNOWLEDGE FOR EARLY STUCK PIPE DETECTION,Inoue T.,Proceedings of the International Conference on Offshore Mechanics and Arctic Engineering - OMAE,2024-01-01,SCOPUS_ID:85210017254,0,False
Data Science for Industry 4.0 and Sustainability: A Survey and Analysis Based on Open Data,Castro H.,Machines,2023-04-01,SCOPUS_ID:85156210497,2,True
On the relation between data science and statistics,Meister A.,Statistics,2024-01-01,SCOPUS_ID:85196324592,0,False
Bottom-up and top-down paradigms of artificial intelligence research approaches to healthcare data science using growing real-world big data,Wang M.,Journal of the American Medical Informatics Association,2023-07-01,SCOPUS_ID:85163920758,6,True
Integrating data science and neuroscience in developmental psychopathology: Formative examples and future directions,Hanson J.L.,Development and Psychopathology,2024-01-01,SCOPUS_ID:85194002546,0,True
Using Data Science to Predict How Rituals Will Evolve,Hazzan O.,Communications of the ACM,2024-03-25,SCOPUS_ID:85189436949,0,True
"Correction to: A framework for analyzing consumer satisfaction using deep learning and expectation–confirmation theory: with illustration of refurbished laptops (International Journal of Data Science and Analytics, (2024), 10.1007/s41060-024-00646-2)",Dey A.,International Journal of Data Science and Analytics,2024-01-01,SCOPUS_ID:85208028204,0,True
Mind the gender gap: Inequalities in the emergent professions of artificial intelligence (AI) and data science,Young E.,"New Technology, Work and Employment",2023-11-01,SCOPUS_ID:85168912982,12,True
Data Science Application on Six Sigma: Global Survey Findings,Belem A.C.,International Conference on Quality Engineering and Management,2024-01-01,SCOPUS_ID:85196707692,0,False
"Expanding, Improving, and Completing a Multi-College Interdisciplinary B.S. Data Science Program with Concentrations",Schubert K.D.,"ASEE Annual Conference and Exposition, Conference Proceedings",2023-06-25,SCOPUS_ID:85172130198,1,False
