title,author,publicationName,cover_date,scopus_id,cited_by_count,open_access,eid,aggregationType,affiliations,link,abstract
A data science roadmap for open science organizations engaged in early-stage drug discovery,Edfeldt K.,Nature Communications,2024-12-01,SCOPUS_ID:85197510804,3,True,2-s2.0-85197510804,Journal,"[{'name': 'Karolinska Universitetssjukhuset', 'city': 'Stockholm', 'country': 'Sweden'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85197510804&origin=inward,"The Structural Genomics Consortium is an international open science research organization with a focus on accelerating early-stage drug discovery, namely hit discovery and optimization. We, as many others, believe that artificial intelligence (AI) is poised to be a main accelerator in the field. The question is then how to best benefit from recent advances in AI and how to generate, format and disseminate data to enable future breakthroughs in AI-guided drug discovery. We present here the recommendations of a working group composed of experts from both the public and private sectors. Robust data management requires precise ontologies and standardized vocabulary while a centralized database architecture across laboratories facilitates data integration into high-value datasets. Lab automation and opening electronic lab notebooks to data mining push the boundaries of data sharing and data modeling. Important considerations for building robust machine-learning models include transparent and reproducible data processing, choosing the most relevant data representation, defining the right training and test sets, and estimating prediction uncertainty. Beyond data-sharing, cloud-based computing can be harnessed to build and disseminate machine-learning models. Important vectors of acceleration for hit and chemical probe discovery will be (1) the real-time integration of experimental data generation and modeling workflows within design-make-test-analyze (DMTA) cycles openly, and at scale and (2) the adoption of a mindset where data scientists and experimentalists work as a unified team, and where data science is incorporated into the experimental design. © The Author(s) 2024."
Providing insights into health data science education through artificial intelligence,Rohani N.,BMC Medical Education,2024-12-01,SCOPUS_ID:85194128627,0,True,2-s2.0-85194128627,Journal,"[{'name': 'Edinburgh Medical School', 'city': 'Edinburgh', 'country': 'United Kingdom'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194128627&origin=inward,"Background: Health Data Science (HDS) is a novel interdisciplinary field that integrates biological, clinical, and computational sciences with the aim of analysing clinical and biological data through the utilisation of computational methods. Training healthcare specialists who are knowledgeable in both health and data sciences is highly required, important, and challenging. Therefore, it is essential to analyse students’ learning experiences through artificial intelligence techniques in order to provide both teachers and learners with insights about effective learning strategies and to improve existing HDS course designs. Methods: We applied artificial intelligence methods to uncover learning tactics and strategies employed by students in an HDS massive open online course with over 3,000 students enrolled. We also used statistical tests to explore students’ engagement with different resources (such as reading materials and lecture videos) and their level of engagement with various HDS topics. Results: We found that students in HDS employed four learning tactics, such as actively connecting new information to their prior knowledge, taking assessments and practising programming to evaluate their understanding, collaborating with their classmates, and repeating information to memorise. Based on the employed tactics, we also found three types of learning strategies, including low engagement (Surface learners), moderate engagement (Strategic learners), and high engagement (Deep learners), which are in line with well-known educational theories. The results indicate that successful students allocate more time to practical topics, such as projects and discussions, make connections among concepts, and employ peer learning. Conclusions: We applied artificial intelligence techniques to provide new insights into HDS education. Based on the findings, we provide pedagogical suggestions not only for course designers but also for teachers and learners that have the potential to improve the learning experience of HDS students. © The Author(s) 2024."
DAPS diagrams for defining Data Science projects,de Mast J.,Journal of Big Data,2024-12-01,SCOPUS_ID:85190285610,0,True,2-s2.0-85190285610,Journal,"[{'name': 'Universiteit van Amsterdam', 'city': 'Amsterdam', 'country': 'Netherlands'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190285610&origin=inward,"Background: Models for structuring big-data and data-analytics projects typically start with a definition of the project’s goals and the business value they are expected to create. The literature identifies proper project definition as crucial for a project’s success, and also recognizes that the translation of business objectives into data-analytic problems is a difficult task. Unfortunately, common project structures, such as CRISP-DM, provide little guidance for this crucial stage when compared to subsequent project stages such as data preparation and modeling. Contribution: This paper contributes structure to the project-definition stage of data-analytic projects by proposing the Data-Analytic Problem Structure (DAPS). The diagrammatic technique facilitates the collaborative development of a consistent and precise definition of a data-analytic problem, and the articulation of how it contributes to the organization’s goals. In addition, the technique helps to identify important assumptions, and to break down large ambitions in manageable subprojects. Methods: The semi-formal specification technique took other models for problem structuring — common in fields such as operations research and business analytics — as a point of departure. The proposed technique was applied in 47 real data-analytic projects and refined based on the results, following a design-science approach. © The Author(s) 2024."
A novel influence quantification model on Instagram using data science approach for targeted business advertising and better digital marketing outcomes,Kumar S.,Social Network Analysis and Mining,2024-12-01,SCOPUS_ID:85188921650,1,False,2-s2.0-85188921650,Journal,"[{'name': 'University of Delhi', 'city': 'New Delhi', 'country': 'India'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188921650&origin=inward,"Instagram is one of the most popular and widely used social network platforms. It is used as a digital tool to connect with other users and also to share information and influence them for marketing and advertising purposes. The influence of popular users is broadly determined by post’s engagement rate in terms of likes, comments, and shares, and the number of followers as well. An objective and comprehensive measure of popularity is necessary to understand the factors that will help make an influencer marketing campaign more successful and beneficial for business activities. This research work attempts to take various features of an influencer account and Instagram posts dataset and develop a novel model that accurately quantifies and determines the influence of a user on Instagram. The research is based on datasets of top regional Instagram influencers and their posts based on categories signified through hashtags and captions. Our research attempts to develop a model using principal component analysis to quantify influence and using it to rank influencers. In our experiment, the proposed model after experimentation, gave the Instagram username “iqbaal.e” influence score as 874,712.9526, username “1nctdream” as 753,830.5847 and username “weareone. exo” as 668,054.4360. The proposed model ranks were compared with other ranks for Instagram users based on other measures such as follower rank etc. User names “huyitian”, “bintangemon” and “bimopd” are top social media influencers based on the proposed model for better business advertising and digital marketing outcomes with collected data and experiment context. This proposed approach gives an exploration for the stakeholders to quantify the impact of influencer in social media and demonstrate an innovative approach. © The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature 2024."
The ESICM datathon and the ESICM and ICMx data science strategy,Elbers P.,Intensive Care Medicine Experimental,2024-12-01,SCOPUS_ID:85187507090,0,True,2-s2.0-85187507090,Journal,"[{'name': 'Vrije Universiteit Amsterdam', 'city': 'Amsterdam', 'country': 'Netherlands'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187507090&origin=inward,[No abstract available]
"Rudi Kundini, Pamoja Kundini (RKPK): study protocol for a hybrid type 1 randomized effectiveness-implementation trial using data science and economic incentive strategies to strengthen the continuity of care among people living with HIV in Tanzania",Kadota J.L.,Trials,2024-12-01,SCOPUS_ID:85184690428,0,True,2-s2.0-85184690428,Journal,"[{'name': 'University of California, Berkeley', 'city': 'Berkeley', 'country': 'United States'}, {'name': 'University of California, San Francisco', 'city': 'San Francisco', 'country': 'United States'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85184690428&origin=inward,"Background: Economic incentives can improve clinical outcomes among in-care people living with HIV (PLHIV), but evidence is limited for their effectiveness among out-of-care PLHIV or those at risk of disengagement. We propose a type 1 hybrid effectiveness-implementation study to advance global knowledge about the use of economic incentives to strengthen the continuity of HIV care and accelerate global goals for HIV epidemic control. Methods: The Rudi Kundini, Pamoja Kundini study will evaluate two implementation models of an economic incentive strategy for supporting two groups of PLHIV in Tanzania. Phase 1 of the study consists of a two-arm, cluster randomized trial across 32 health facilities to assess the effectiveness of a home visit plus one-time economic incentive on the proportion of out-of-care PLHIV with viral load suppression (< 1000 copies/ml) 6 months after enrollment (n = 640). Phase 2 is an individual 1:1 randomized controlled trial designed to determine the effectiveness of a short-term counseling and economic incentive program offered to in-care PLHIV who are predicted through machine learning to be at risk of disengaging from care on the outcome of viral load suppression at 12 months (n = 692). The program includes up to three incentives conditional upon visit attendance coupled with adapted counselling sessions for this population of PLHIV. Consistent with a hybrid effectiveness-implementation study design, phase 3 is a mixed methods evaluation to explore barriers and facilitators to strategy implementation in phases 1 and 2. Results will be used to guide optimization and scale-up of the incentive strategies, if effective, to the larger population of Tanzanian PLHIV who struggle with continuity of HIV care. Discussion: Innovative strategies that recognize the dynamic process of lifelong retention in HIV care are urgently needed. Strategies such as conditional economic incentives are a simple and effective method for improving many health outcomes, including those on the HIV continuum. If coupled with other supportive services such as home visits (phase 1) or with tailored counselling (phase 2), economic incentives have the potential to strengthen engagement among the subpopulation of PLHIV who struggle with retention in care and could help to close the gap towards reaching global “95–95-95” goals for ending the AIDS epidemic. Trial registration: Phase 1: ClinicalTrials.gov, NCT05248100, registered 2/21/2022. Phase 2: ClinicalTrials.gov, NCT05373095, registered 5/13/2022. © The Author(s) 2024."
"Is Data Science Transforming Biomedical Research? Evidence, Expertise, and Experiments in COVID-19 Science",Leonelli S.,Philosophy of Science,2024-12-01,SCOPUS_ID:85181668746,0,True,2-s2.0-85181668746,Journal,"[{'name': 'University of Exeter', 'city': 'Exeter', 'country': 'United Kingdom'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85181668746&origin=inward,"Biomedical deployments of data science capitalize on vast, heterogeneous data sources. This promotes a diversified understanding of what counts as evidence for health-related interventions, beyond the strictures associated with evidence-based medicine. Focusing on COVID-19 transmission and prevention research, I consider the epistemic implications of this diversification of evidence in relation to (1) experimental design, especially the revival of natural experiments as sources of reliable epidemiological knowledge; and (2) modeling practices, particularly the recognition of transdisciplinary expertise as crucial to developing and interpreting data models. Acknowledging such shifts in evidential, experimental, and modeling practices helps avoid harmful applications of data-intensive methods. © The Author(s), 2023."
Making up the predictable border: How bureaucracies legitimate data science techniques,Baykurt B.,New Media and Society,2024-12-01,SCOPUS_ID:85152933522,1,False,2-s2.0-85152933522,Journal,"[{'name': 'University of Massachusetts Amherst', 'city': 'Amherst', 'country': 'United States'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85152933522&origin=inward,"This article examines how claims to predictable borders via data science techniques are crafted in bureaucratic institutions. Through a case study of testing algorithmic systems at a transnational agency, we examine how humanitarian organizations reconcile the risks of predictive technologies with the benefits they claim to receive. Drawing on a content analysis of policy documents and interviews with humanitarian technologists, we identify three organizational strategies to justify working toward predictability: constantly seeking novel variables and data, maintaining ambiguity, and shifting models to adapt to changing circumstances. These strategies, we argue, sustain the claim that a predictable border is possible even when the technical reality of machine learning models does not live up to bureaucratic imaginaries. The so-called success of a predictable border does not solely derive from its technical capacity to estimate human mobility accurately but from creating a semblance of a predictable border inside an organization. © The Author(s) 2023."
"Pricing model, engagement model and firm performance: evidence from Indian data science industry",Jhamb D.,Benchmarking,2024-11-14,SCOPUS_ID:85166755402,1,False,2-s2.0-85166755402,Journal,"[{'name': 'Chitkara University, Punjab', 'city': 'Rajpura', 'country': 'India'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85166755402&origin=inward,"Purpose: Data science industry is a multidisciplinary field that deals with a large amount of data and derives useful information for taking routine and strategic business decisions. The purpose of this article is to examine the relationship between pricing models, engagement models, and firm performance (FP). This study also aims at uncovering the most effective pricing model and engagement model for improving FP. Design/methodology/approach: Indian data scientists were the respondents of the study. A total of 213 responses were carefully chosen. The data were analyzed using structural equations on Statistical Package for Social Sciences-Analysis of Moment Structures (SPSS-AMOS) version 25 software. Findings: The findings of the study suggested the positive and significant impact of pricing models and engagement models on FP. Value-based pricing strategies have the maximum impact on FP. On the other hand, managed services have a higher influence on FP. Originality/value: By developing a multi-faceted framework, this study is a novel contribution to the field of business strategy, especially for the data science industry. © 2023, Emerald Publishing Limited."
In the Mix: A Workshop Merging Computational Chemistry and Electrochemistry Alongside Data Science,Duke R.,Journal of Chemical Education,2024-11-12,SCOPUS_ID:85208938005,0,False,2-s2.0-85208938005,Journal,"[{'name': 'University of Kentucky', 'city': 'Lexington', 'country': 'United States'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208938005&origin=inward,"As chemistry expands to more complex and interdisciplinary areas, a new generation of diverse researchers must engage with science and learn effective cross-disciplinary collaboration and communication. To these ends, we designed and implemented In the Mix, a graduate student-led, two-day workshop for undergraduate students promoting collaborative science in the context of energy storage innovations. The interactive workshop was designed for future and emerging researchers to gain hands-on experience with data science, computational chemistry, and electrochemistry techniques that are critical for developing materials for battery technologies. Participants also visited commercial renewable energy facilities to help them connect discovery-based research with industry and broader societal considerations. The workshop content and structure ensured that participants experienced the interrelatedness of the fields and understood the importance of collaborative research to yield scientific advances with real-world applications. An external team evaluated the workshop and participants’ perceptions of their experiences. While our research context was energy storage, the workshop goals and outcomes are applicable to other contexts. Interdisciplinary, experiential workshops are a key avenue to broadening participation in science and research, and the ideas presented here can be readily modified for other scientific contexts and/or incorporated as broader impact activities. © 2024 American Chemical Society and Division of Chemical Education, Inc."
