Subject,Count
Epidemiology,114
Clinical Biochemistry,113
Modeling and Simulation,112
Biophysics,110
Cellular and Molecular Neuroscience,109
Urban Studies,105
Toxicology,105
Insect Science,103
Pathology and Forensic Medicine,103
Finance,103
Oral Surgery,102
Social Sciences (miscellaneous),102
Toxicology and Pharmaceutics (all),100
Geology,100
Physical Therapy,97
Sports Therapy and Rehabilitation,97
Surfaces and Interfaces,97
Physiology (medical),97
Electrochemistry,94
Arts and Humanities (all),94
Nursing (all),92
Development,91
Critical Care and Intensive Care Medicine,88
Structural Biology,83
Soil Science,83
Pulmonary and Respiratory Medicine,83
Management Information Systems,82
Astronomy and Astrophysics,81
Health Informatics,81
Space and Planetary Science,79
Management Science and Operations Research,76
Geriatrics and Gerontology,75
Arts and Humanities (miscellaneous),74
History,74
Management of Technology and Innovation,74
Nature and Landscape Conservation,73
Paleontology,72
Genetics (clinical),72
Statistics and Probability,71
Materials Science (miscellaneous),71
Architecture,70
Oceanography,67
Fluid Flow and Transfer Processes,67
Transportation,66
Psychology (all),66
Cultural Studies,65
Social Psychology,64
Political Science and International Relations,62
Colloid and Surface Chemistry,61
Nuclear Energy and Engineering,61
Urology,60
Internal Medicine,60
Automotive Engineering,60
Biological Psychiatry,59
Literature and Literary Theory,58
Energy (miscellaneous),58
Theoretical Computer Science,56
Transplantation,55
Rehabilitation,54
Computational Mathematics,52
Geochemistry and Petrology,51
Horticulture,51
Marketing,51
Global and Planetary Change,50
Visual Arts and Performing Arts,50
Earth and Planetary Sciences (miscellaneous),50
Anthropology,50
Immunology and Microbiology (miscellaneous),49
Management and Accounting (miscellaneous),48
Health Professions (miscellaneous),48
Anesthesiology and Pain Medicine,47
Food Animals,47
Histology,47
Computer Graphics and Computer-Aided Design,46
Radiological and Ultrasound Technology,46
Organizational Behavior and Human Resource Management,45
Behavioral Neuroscience,45
Ocean Engineering,45
Communication,44
Clinical Psychology,44
Media Technology,43
Statistics,41
Filtration and Separation,41
Mathematical Physics,41
Probability and Uncertainty,41
Econometrics and Finance (miscellaneous),40
Accounting,39
Biochemistry (medical),38
Ecological Modeling,38
Law,37
Radiation,36
Cognitive Neuroscience,36
Computational Theory and Mathematics,36
Decision Sciences (miscellaneous),36
Earth-Surface Processes,36
Forestry,35
Library and Information Sciences,35
Pharmacy,35
Developmental Biology,35
Conservation,34
Safety Research,34
Anatomy,34
Algebra and Number Theory,33
Applied Psychology,33
Veterinary (miscellaneous),33
Atmospheric Science,33
Toxicology and Pharmaceutics (miscellaneous),33
Rheumatology,33
Periodontics,33
Music,32
Dentistry (miscellaneous),31
Leisure and Hospitality Management,30
Computational Mechanics,30
Aerospace Engineering,30
Tourism,30
Orthodontics,30
Emergency Medicine,29
Small Animals,28
Geophysics,28
Genetics and Molecular Biology (miscellaneous),27
Experimental and Cognitive Psychology,26
Analysis,26
Religious Studies,26
Equine,24
Medical Laboratory Technology,24
Health Information Management,23
History and Philosophy of Science,23
Discrete Mathematics and Combinatorics,22
Sensory Systems,21
Reproductive Medicine,21
Public Administration,21
Statistical and Nonlinear Physics,20
Aging,19
Demography,19
Numerical Analysis,17
Developmental and Educational Psychology,17
Neuropsychology and Physiological Psychology,16
Advanced and Specialized Nursing,16
Leadership and Management,16
Logic,16
Gerontology,15
Archeology,15
Archeology (arts and humanities),15
Philosophy,15
Community and Home Care,14
Maternity and Midwifery,12
Human Factors and Ergonomics,12
Endocrine and Autonomic Systems,12
Acoustics and Ultrasonics,12
Stratigraphy,11
Occupational Therapy,11
Complementary and Manual Therapy,11
Geometry and Topology,11
Computers in Earth Sciences,10
Developmental Neuroscience,10
Health Professions (all),9
Nursing (miscellaneous),9
Life-span and Life-course Studies,9
Chemical Health and Safety,8
Mathematics (miscellaneous),8
Oncology (nursing),7
Medical and Surgical Nursing,7
Psychiatric Mental Health,6
Neuroscience (miscellaneous),6
Dental Hygiene,5
Fundamentals and Skills,5
Issues,5
Ethics and Legal Aspects,5
Psychology (miscellaneous),5
Decision Sciences (all),4
Gender Studies,4
Industrial Relations,4
Speech and Hearing,4
Economic Geology,3
Assessment and Diagnosis,3
Research and Theory,3
Dental Assisting,3
Podiatry,2
Care Planning,2
Critical Care Nursing,2
Emergency Nursing,1
Museology,1
Chiropractics,1
Optometry,1
Family Practice,1
